metric_type,metric_name,metric_value,timestamp
task,total_tasks,55,2026-01-26T11:46:54Z
task,done_count,47,2026-01-26T11:46:54Z
task,review_count,5,2026-01-26T11:46:54Z
task,doing_count,2,2026-01-26T11:46:54Z
task,todo_count,1,2026-01-26T11:46:54Z
project,total_projects,5,2026-01-26T11:46:54Z
project,active_projects,3,2026-01-26T11:46:54Z
project,completed_projects,1,2026-01-26T11:46:54Z
savings,total_hours_saved,94.5,2026-01-26T11:46:54Z
savings,average_savings_per_task,2.01,2026-01-26T11:46:54Z
savings,hours_saved_7_days,18.5,2026-01-26T11:46:54Z
savings,hours_saved_30_days,72.0,2026-01-26T11:46:54Z
savings,efficiency_rate,67,2026-01-26T11:46:54Z
tokens,total_7_days,150000,2026-01-26T11:46:54Z
tokens,total_30_days,650000,2026-01-26T11:46:54Z
tokens,average_per_command,9559,2026-01-26T11:46:54Z
velocity,tasks_completed_7_days,12,2026-01-26T11:46:54Z
velocity,tasks_completed_30_days,47,2026-01-26T11:46:54Z
velocity,daily_rate_7_days,1.71,2026-01-26T11:46:54Z
references,total_references,17,2026-01-26T11:46:54Z
references,health_percentage,67,2026-01-26T11:46:54Z
references,category_ai-agents,3,2026-01-26T11:46:54Z
references,category_mcp,5,2026-01-26T11:46:54Z
references,category_python,4,2026-01-26T11:46:54Z
"task,with,commas","metric,with,commas","value,with,commas","2026-01-26T12:00:00Z"
